Date,Code,Name,Market,TimeSession,EntryPrice,ExitPrice,Slippage(%),PnL(%),MinPnL(%),MaxPnL(%),VolBurstRatio,EntryATR,EntryVWAPGap(%),MacroTrend,MacroGap(%),HoldTime(s),ExitReason
2026-04-13 09:07:19,092790,넥스틸,KOSPI,Open(09:00~09:30),18220,18010,-0.17,-1.15,-1.15,0.0,8.07,201.43,0.69,정배열,0.0,31,손절(SL)
2026-04-13 09:09:50,005880,대한해운,KOSPI,Open(09:00~09:30),3145,3070,-1.44,-2.38,-2.38,0.16,4.85,27.86,-1.14,정배열,0.0,185,손절(SL)
2026-04-13 09:13:23,079550,LIG넥스원,KOSPI,Open(09:00~09:30),945000,935000,0.0,-1.06,-1.06,0.74,2.91,7642.86,-0.19,정배열,0.0,393,손절(SL)
2026-04-13 09:15:14,475150,SK이터닉스,KOSPI,Open(09:00~09:30),60400,59800,0.0,-0.99,-0.99,0.17,2.28,485.71,0.58,정배열,0.0,371,손절(SL)
2026-04-13 09:18:43,050890,쏠리드,KOSDAQ,Open(09:00~09:30),17800,17610,-0.06,-1.07,-1.07,-0.06,4.39,255.0,2.28,정배열,0.0,350,손절(SL)
2026-04-13 09:19:37,010170,대한광통신,KOSDAQ,Open(09:00~09:30),19760,20100,0.0,1.72,0.0,1.72,2.6,345.71,1.37,정배열,0.0,635,50%분할익절
2026-04-13 09:19:51,032820,우리기술,KOSDAQ,Open(09:00~09:30),20950,20750,0.0,-0.95,-0.95,0.95,2.56,267.86,2.71,정배열,0.0,236,손절(SL)
2026-04-13 09:22:17,064260,다날,KOSDAQ,Open(09:00~09:30),8300,8170,-0.61,-1.57,-1.57,0.24,8.83,147.86,2.3,정배열,0.0,33,손절(SL)
2026-04-13 09:22:56,010170,대한광통신,KOSDAQ,Open(09:00~09:30),19760,19970,-0.1,1.06,0.0,3.24,2.6,345.71,1.37,정배열,0.0,834,트레일링스탑(익절)
2026-04-13 09:24:51,009150,삼성전기,KOSPI,Close(14:00~),568000,568000,0.0,0.0,-2.11,1.76,2.06,2428.57,0.42,정배열,0.0,240328,본절방어
2026-04-15 09:37:54,005880,대한해운,KOSPI,Mid(09:30~14:00),2675,2650,0.0,-0.93,-0.93,0.19,3.16,34.64,1.37,정배열,0.0,413,손절(SL)
2026-04-15 10:01:59,000720,현대건설,KOSPI,Mid(09:30~14:00),184400,182400,-0.05,-1.08,-1.08,0.43,2.19,1264.29,1.66,정배열,0.0,832,손절(SL)
2026-04-15 13:45:07,054920,한컴위드,KOSDAQ,Mid(09:30~14:00),6280,6220,0.0,-0.96,-0.96,0.16,3.21,90.0,2.31,정배열,0.0,152,손절(SL)
2026-04-15 14:43:38,158430,아톤,KOSDAQ,Close(14:00~),8470,8380,0.0,-1.06,-1.06,0.0,2.58,74.64,2.43,정배열,0.0,50,손절(SL)
